date_hour,Open,High,Low,Close,Close_Rt
2021-12-20,3924.14000000,3983.37000000,3753.00000000,3944.73000000,0.5233291944611534
2021-12-21,3944.72000000,4063.00000000,3913.21000000,4014.15000000,1.7445107992705444
2021-12-22,4014.41000000,4074.87000000,3933.40000000,3979.51000000,-0.8666922744595622
2021-12-23,3979.51000000,4150.00000000,3893.23000000,4111.41000000,3.26073392288822
2021-12-24,4111.41000000,4134.84000000,4017.17000000,4046.36000000,-1.594832381346089
2021-12-25,4046.35000000,4137.91000000,4018.62000000,4094.83000000,1.1907490847253626
2021-12-26,4094.36000000,4105.00000000,4000.00000000,4063.56000000,-0.7665765703513949
2021-12-27,4063.57000000,4127.46000000,4031.00000000,4037.23000000,-0.6500623450616683
2021-12-28,4037.22000000,4037.23000000,3759.36000000,3792.75000000,-6.2467463601591255
2021-12-29,3792.75000000,3827.78000000,3604.20000000,3630.19000000,-4.380636114128316
2021-12-30,3630.18000000,3769.10000000,3585.00000000,3709.27000000,2.1550103255039157
2021-12-31,3709.27000000,3815.00000000,3622.29000000,3676.23000000,-0.8947321214971451
2022-01-01,3676.22000000,3776.45000000,3673.46000000,3765.54000000,2.400350671726048
2022-01-02,3765.54000000,3857.44000000,3717.30000000,3828.27000000,1.6521726756629256
2022-01-03,3828.11000000,3853.09000000,3680.00000000,3765.89000000,-1.6428782919867397
2022-01-04,3765.89000000,3900.73000000,3713.11000000,3785.11000000,0.5090727455432364
2022-01-05,3785.10000000,3848.00000000,3415.00000000,3540.63000000,-6.6770271141014135
2022-01-06,3539.82000000,3550.43000000,3300.00000000,3406.81000000,-3.852830782695031
2022-01-07,3406.81000000,3416.76000000,3064.42000000,3199.24000000,-6.286308798825013
2022-01-08,3198.68000000,3250.00000000,3000.00000000,3080.95000000,-3.767529061248328
2022-01-09,3080.98000000,3211.72000000,3057.35000000,3151.97000000,2.278966319823475
2022-01-10,3151.97000000,3185.00000000,2928.83000000,3082.68000000,-2.222830567176738
2022-01-11,3082.87000000,3263.54000000,3051.80000000,3239.72000000,4.968755780467594
2022-01-12,3239.73000000,3411.43000000,3206.20000000,3371.26000000,3.979965540945987
2022-01-13,3371.60000000,3410.00000000,3233.43000000,3240.61000000,-3.952497803790752
2022-01-14,3240.61000000,3342.79000000,3188.00000000,3307.42000000,2.0406845573391728
2022-01-15,3307.42000000,3371.64000000,3261.00000000,3326.04000000,0.5613977894932952
2022-01-16,3326.51000000,3393.60000000,3269.62000000,3346.88000000,0.624616142713956
2022-01-17,3346.89000000,3357.57000000,3141.10000000,3209.67000000,-4.18604404648261
2022-01-18,3209.68000000,3243.87000000,3082.00000000,3159.85000000,-1.5643570001207947
2022-01-19,3159.85000000,3174.87000000,3000.00000000,3084.02000000,-2.4290617353371258
2022-01-20,3084.02000000,3273.37000000,2987.15000000,3001.48000000,-2.7128440411799573
2022-01-21,3001.48000000,3034.12000000,2403.00000000,2568.15000000,-15.591970501576203
2022-01-22,2567.47000000,2626.00000000,2300.00000000,2412.18000000,-6.265489239063485
2022-01-23,2412.18000000,2556.78000000,2370.80000000,2539.01000000,5.124333832710834
2022-01-24,2539.00000000,2539.75000000,2159.00000000,2439.29000000,-4.0067227918663955
2022-01-25,2439.56000000,2506.55000000,2348.96000000,2458.83000000,0.7978613695370262
2022-01-26,2459.04000000,2722.00000000,2402.03000000,2462.99000000,0.16904319908573087
2022-01-27,2463.00000000,2521.00000000,2316.43000000,2424.25000000,-1.5853860838318068
2022-01-28,2424.02000000,2558.98000000,2357.88000000,2544.99000000,4.860452251916326
2022-01-29,2544.99000000,2636.66000000,2520.01000000,2601.43000000,2.193457311118982
2022-01-30,2601.43000000,2640.00000000,2542.50000000,2601.68000000,0.009609637320470698
2022-01-31,2601.67000000,2706.77000000,2476.07000000,2686.94000000,3.224560944220077
2022-02-01,2686.94000000,2813.00000000,2673.52000000,2787.23000000,3.6645271460084596
2022-02-02,2787.48000000,2810.88000000,2612.72000000,2680.67000000,-3.8981507830389077
2022-02-03,2680.25000000,2726.64000000,2576.05000000,2695.46000000,0.5502112974112725
2022-02-04,2695.21000000,2995.00000000,2671.40000000,2994.99000000,10.537201641158946
